;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy
1735640862149943821,1,1,40,(30, 25, 15);57.14;64.29;61.54;60.71
3245434972983169324,1,1,40,(30, 25, 15);64.29;60.71;62.07;62.5
1708661255722239460,1,1,40,(30, 25, 15);67.86;85.71;82.61;76.79
1107158645723204584,1,1,40,(30, 25, 15);60.71;53.57;56.67;57.14
avg;62.86;63.57;64.19;63.21
std;4.08;13.22;10.55;7.85
7933197233428195239,1,1,60,(30, 75, 50);53.57;60.71;57.69;57.14
1735640862149943821,1,1,60,(30, 75, 50);67.86;57.14;61.29;62.5
3245434972983169324,1,1,60,(30, 75, 50);42.86;82.14;70.59;62.5
1708661255722239460,1,1,60,(30, 75, 50);75;60.71;65.62;67.86
1107158645723204584,1,1,60,(30, 75, 50);50;60.71;56.0;55.36
avg;57.86;64.28;62.24;61.07
std;13.22;10.1;5.95;4.96
7933197233428195239,1,1,60,(30, 45, 30);50;71.43;63.64;60.71
1735640862149943821,1,1,60,(30, 45, 30);64.29;60.71;62.07;62.5
3245434972983169324,1,1,60,(30, 45, 30);53.57;78.57;71.43;66.07
1708661255722239460,1,1,60,(30, 45, 30);64.29;60.71;62.07;62.5
1107158645723204584,1,1,60,(30, 45, 30);39.29;57.14;47.83;48.21
avg;54.29;65.71;61.41;60.0
std;10.53;8.97;8.52;6.87
7933197233428195239,1,2,20,(30, 75, 50);53.57;82.14;75.0;67.86
1735640862149943821,1,2,20,(30, 75, 50);53.57;78.57;71.43;66.07
3245434972983169324,1,2,20,(30, 75, 50);64.29;64.29;64.29;64.29
1708661255722239460,1,2,20,(30, 75, 50);78.57;75;75.86;76.79
1107158645723204584,1,2,20,(30, 75, 50);60.71;60.71;60.71;60.71
avg;62.14;72.14;69.46;67.14
std;10.29;9.24;6.69;6.01
7933197233428195239,1,2,20,(30, 45, 30);64.29;75;72.0;69.64
1735640862149943821,1,2,20,(30, 45, 30);67.86;60.71;63.33;64.29
3245434972983169324,1,2,20,(30, 45, 30);53.57;60.71;57.69;57.14
1708661255722239460,1,2,20,(30, 45, 30);71.43;60.71;64.52;66.07
1107158645723204584,1,2,20,(30, 45, 30);67.86;67.86;67.86;67.86
avg;65.0;65.0;65.08;65.0
std;6.87;6.39;5.33;4.83
7933197233428195239,1,2,40,(30, 75, 50);67.86;75;73.08;71.43
1735640862149943821,1,2,40,(30, 75, 50);57.14;75;69.57;66.07
3245434972983169324,1,2,40,(30, 75, 50);60.71;60.71;60.71;60.71
1708661255722239460,1,2,40,(30, 75, 50);64.29;82.14;78.26;73.21
1107158645723204584,1,2,40,(30, 75, 50);71.43;57.14;62.5;64.29
avg;64.29;70.0;68.82;67.14
std;5.65;10.6;7.31;5.14
7933197233428195239,1,2,40,(30, 45, 30);67.86;75;73.08;71.43
1735640862149943821,1,2,40,(30, 45, 30);64.29;67.86;66.67;66.07
3245434972983169324,1,2,40,(30, 45, 30);57.14;64.29;61.54;60.71
1708661255722239460,1,2,40,(30, 45, 30);64.29;85.71;81.82;75
1107158645723204584,1,2,40,(30, 45, 30);60.71;57.14;58.62;58.93
avg;62.86;70.0;68.35;66.43
std;4.08;10.89;9.32;6.85
